Epoch: 42, lr: 4.51e-06, wave2vec_lr: 2.25e-07 - train loss: 2.18e-06 - valid loss: 6.94e-02, valid error_rate: 8.00e-03
Epoch: 43, lr: 4.06e-06, wave2vec_lr: 2.03e-07 - train loss: 1.98e-06 - valid loss: 6.94e-02, valid error_rate: 8.00e-03
Epoch: 44, lr: 3.65e-06, wave2vec_lr: 1.82e-07 - train loss: 1.95e-06 - valid loss: 6.98e-02, valid error_rate: 8.00e-03
Epoch: 45, lr: 3.28e-06, wave2vec_lr: 1.64e-07 - train loss: 1.95e-06 - valid loss: 6.99e-02, valid error_rate: 8.00e-03
Epoch: 46, lr: 2.96e-06, wave2vec_lr: 1.48e-07 - train loss: 1.75e-06 - valid loss: 6.99e-02, valid error_rate: 8.00e-03
Epoch: 47, lr: 2.66e-06, wave2vec_lr: 1.33e-07 - train loss: 1.71e-06 - valid loss: 7.02e-02, valid error_rate: 8.00e-03
Epoch: 48, lr: 2.39e-06, wave2vec_lr: 1.20e-07 - train loss: 1.68e-06 - valid loss: 7.06e-02, valid error_rate: 8.00e-03
Epoch: 49, lr: 2.16e-06, wave2vec_lr: 1.08e-07 - train loss: 1.70e-06 - valid loss: 7.13e-02, valid error_rate: 8.00e-03
Epoch: 50, lr: 1.94e-06, wave2vec_lr: 9.70e-08 - train loss: 1.46e-06 - valid loss: 7.16e-02, valid error_rate: 8.00e-03
Epoch loaded: 50 - test loss: 2.51e-02, test error_rate: 7.94e-03
