Epoch: 1, lr: 3.00e-03 - train loss: 3.97e-01 - valid loss: 3.51e-01, valid error: 1.76e-01
Epoch: 2, lr: 2.94e-03 - train loss: 2.31e-01 - valid loss: 3.32e-01, valid error: 1.68e-01
Epoch: 3, lr: 2.88e-03 - train loss: 1.87e-01 - valid loss: 8.19e-01, valid error: 2.64e-01
Epoch: 4, lr: 2.82e-03 - train loss: 1.53e-01 - valid loss: 1.67e-01, valid error: 5.60e-02
Epoch: 5, lr: 2.76e-03 - train loss: 1.22e-01 - valid loss: 3.64e-01, valid error: 1.12e-01
Epoch: 6, lr: 2.70e-03 - train loss: 8.93e-02 - valid loss: 9.17e-02, valid error: 2.40e-02
Epoch: 7, lr: 2.64e-03 - train loss: 8.91e-02 - valid loss: 8.00e-02, valid error: 1.60e-02
Epoch: 8, lr: 2.59e-03 - train loss: 9.74e-02 - valid loss: 1.40e-01, valid error: 5.60e-02
Epoch: 9, lr: 2.53e-03 - train loss: 1.47e-01 - valid loss: 3.07e-02, valid error: 8.00e-03
Epoch: 10, lr: 2.47e-03 - train loss: 8.31e-02 - valid loss: 1.68e-02, valid error: 0.00e+00
Epoch: 11, lr: 2.41e-03 - train loss: 1.64e-01 - valid loss: 3.46e-02, valid error: 8.00e-03
Epoch: 12, lr: 2.35e-03 - train loss: 1.48e-01 - valid loss: 2.46e-02, valid error: 8.00e-03
Epoch: 13, lr: 2.29e-03 - train loss: 8.73e-02 - valid loss: 2.54e-02, valid error: 8.00e-03
Epoch: 14, lr: 2.23e-03 - train loss: 3.88e-02 - valid loss: 6.37e-02, valid error: 3.20e-02
Epoch: 15, lr: 2.17e-03 - train loss: 5.41e-02 - valid loss: 5.90e-02, valid error: 8.00e-03
Epoch: 16, lr: 2.11e-03 - train loss: 4.53e-02 - valid loss: 7.19e-02, valid error: 2.40e-02
Epoch: 17, lr: 2.05e-03 - train loss: 8.73e-02 - valid loss: 1.18e-01, valid error: 4.00e-02
Epoch: 18, lr: 1.99e-03 - train loss: 1.64e-01 - valid loss: 2.24e-02, valid error: 8.00e-03
Epoch: 19, lr: 1.93e-03 - train loss: 1.11e-01 - valid loss: 2.65e-02, valid error: 8.00e-03
Epoch: 20, lr: 1.88e-03 - train loss: 5.18e-02 - valid loss: 3.54e-02, valid error: 1.60e-02
Epoch: 21, lr: 1.82e-03 - train loss: 6.38e-02 - valid loss: 7.94e-02, valid error: 1.60e-02
Epoch: 22, lr: 1.76e-03 - train loss: 7.08e-02 - valid loss: 5.17e-02, valid error: 8.00e-03
Epoch: 23, lr: 1.70e-03 - train loss: 4.87e-02 - valid loss: 4.08e-02, valid error: 8.00e-03
Epoch: 24, lr: 1.64e-03 - train loss: 1.92e-02 - valid loss: 5.76e-03, valid error: 0.00e+00
Epoch: 25, lr: 1.58e-03 - train loss: 7.29e-03 - valid loss: 3.35e-03, valid error: 0.00e+00
Epoch: 26, lr: 1.52e-03 - train loss: 7.01e-02 - valid loss: 1.74e-02, valid error: 8.00e-03
Epoch: 27, lr: 1.46e-03 - train loss: 3.24e-02 - valid loss: 5.85e-02, valid error: 8.00e-03
Epoch: 28, lr: 1.40e-03 - train loss: 2.89e-02 - valid loss: 2.37e-02, valid error: 1.60e-02
Epoch: 29, lr: 1.34e-03 - train loss: 7.54e-02 - valid loss: 2.78e-02, valid error: 8.00e-03
Epoch: 30, lr: 1.28e-03 - train loss: 2.38e-02 - valid loss: 1.95e-02, valid error: 8.00e-03
Epoch: 31, lr: 1.22e-03 - train loss: 9.57e-03 - valid loss: 2.37e-02, valid error: 8.00e-03
Epoch: 32, lr: 1.17e-03 - train loss: 1.85e-02 - valid loss: 5.41e-02, valid error: 8.00e-03
Epoch: 33, lr: 1.11e-03 - train loss: 7.36e-03 - valid loss: 2.30e-02, valid error: 8.00e-03
Epoch: 34, lr: 1.05e-03 - train loss: 8.48e-03 - valid loss: 1.02e-02, valid error: 8.00e-03
Epoch: 35, lr: 9.88e-04 - train loss: 1.77e-02 - valid loss: 5.26e-03, valid error: 0.00e+00
Epoch: 36, lr: 9.29e-04 - train loss: 2.94e-02 - valid loss: 4.90e-02, valid error: 8.00e-03
Epoch: 37, lr: 8.69e-04 - train loss: 9.51e-02 - valid loss: 1.55e-02, valid error: 8.00e-03
Epoch: 38, lr: 8.10e-04 - train loss: 7.67e-03 - valid loss: 1.39e-02, valid error: 8.00e-03
Epoch: 39, lr: 7.51e-04 - train loss: 8.96e-02 - valid loss: 2.21e-02, valid error: 1.60e-02
Epoch: 40, lr: 6.92e-04 - train loss: 3.61e-02 - valid loss: 1.86e-02, valid error: 8.00e-03
Epoch: 41, lr: 6.33e-04 - train loss: 6.76e-02 - valid loss: 2.22e-03, valid error: 0.00e+00
Epoch: 42, lr: 5.73e-04 - train loss: 7.97e-03 - valid loss: 3.87e-03, valid error: 0.00e+00
Epoch: 43, lr: 5.14e-04 - train loss: 1.08e-02 - valid loss: 2.04e-03, valid error: 0.00e+00
Epoch: 44, lr: 4.55e-04 - train loss: 1.35e-02 - valid loss: 1.38e-02, valid error: 8.00e-03
Epoch: 45, lr: 3.96e-04 - train loss: 4.37e-03 - valid loss: 2.04e-02, valid error: 8.00e-03
Epoch: 46, lr: 3.37e-04 - train loss: 4.20e-02 - valid loss: 4.82e-03, valid error: 0.00e+00
Epoch: 47, lr: 2.78e-04 - train loss: 2.44e-03 - valid loss: 1.11e-02, valid error: 8.00e-03
Epoch: 48, lr: 2.18e-04 - train loss: 1.59e-01 - valid loss: 1.49e-02, valid error: 8.00e-03
Epoch: 49, lr: 1.59e-04 - train loss: 4.60e-03 - valid loss: 3.02e-02, valid error: 8.00e-03
Epoch: 50, lr: 1.00e-04 - train loss: 6.36e-03 - valid loss: 2.11e-02, valid error: 8.00e-03
Epoch loaded: 50 - test loss: 4.24e-03, test error: 0.00e+00
