Epoch: 1, lr: 1.00e-03 - train loss: 4.98e-01 - valid loss: 6.89e-01, valid error: 4.67e-01
Epoch: 2, lr: 9.69e-04 - train loss: 3.00e-01 - valid loss: 6.77e-01, valid error: 4.67e-01
Epoch: 3, lr: 9.38e-04 - train loss: 3.75e-01 - valid loss: 6.17e-01, valid error: 4.67e-01
Epoch: 4, lr: 9.07e-04 - train loss: 1.15e-01 - valid loss: 4.94e-01, valid error: 3.33e-01
Epoch: 5, lr: 8.76e-04 - train loss: 1.27e-02 - valid loss: 2.77e-01, valid error: 6.67e-02
Epoch: 6, lr: 8.45e-04 - train loss: 1.49e-02 - valid loss: 1.33e-01, valid error: 0.00e+00
Epoch: 7, lr: 8.14e-04 - train loss: 8.08e-02 - valid loss: 6.43e-02, valid error: 0.00e+00
Epoch: 8, lr: 7.83e-04 - train loss: 1.61e-02 - valid loss: 5.24e-02, valid error: 0.00e+00
Epoch: 9, lr: 7.52e-04 - train loss: 4.21e-02 - valid loss: 2.11e-02, valid error: 0.00e+00
Epoch: 10, lr: 7.21e-04 - train loss: 5.16e-03 - valid loss: 9.13e-03, valid error: 0.00e+00
Epoch: 11, lr: 6.90e-04 - train loss: 1.19e-02 - valid loss: 1.14e-02, valid error: 0.00e+00
Epoch: 12, lr: 6.59e-04 - train loss: 4.24e-03 - valid loss: 1.14e-02, valid error: 0.00e+00
Epoch: 13, lr: 6.28e-04 - train loss: 1.89e-03 - valid loss: 1.08e-02, valid error: 0.00e+00
Epoch: 14, lr: 5.97e-04 - train loss: 7.90e-03 - valid loss: 8.96e-03, valid error: 0.00e+00
Epoch: 15, lr: 5.66e-04 - train loss: 4.13e-02 - valid loss: 5.22e-03, valid error: 0.00e+00
Epoch: 16, lr: 5.34e-04 - train loss: 8.93e-02 - valid loss: 3.27e-03, valid error: 0.00e+00
Epoch: 17, lr: 5.03e-04 - train loss: 1.10e-02 - valid loss: 7.65e-03, valid error: 0.00e+00
Epoch: 18, lr: 4.72e-04 - train loss: 2.67e-03 - valid loss: 5.30e-03, valid error: 0.00e+00
Epoch: 19, lr: 4.41e-04 - train loss: 5.43e-01 - valid loss: 2.28e-03, valid error: 0.00e+00
Epoch: 20, lr: 4.10e-04 - train loss: 1.79e-02 - valid loss: 6.08e-03, valid error: 0.00e+00
Epoch: 21, lr: 3.79e-04 - train loss: 1.33e-02 - valid loss: 3.32e-03, valid error: 0.00e+00
Epoch: 22, lr: 3.48e-04 - train loss: 2.50e-02 - valid loss: 3.08e-03, valid error: 0.00e+00
Epoch: 23, lr: 3.17e-04 - train loss: 1.48e-01 - valid loss: 4.19e-03, valid error: 0.00e+00
Epoch: 24, lr: 2.86e-04 - train loss: 6.06e-03 - valid loss: 6.85e-03, valid error: 0.00e+00
Epoch: 25, lr: 2.55e-04 - train loss: 1.59e-02 - valid loss: 6.77e-03, valid error: 0.00e+00
Epoch: 26, lr: 2.24e-04 - train loss: 2.13e-03 - valid loss: 4.57e-03, valid error: 0.00e+00
Epoch: 27, lr: 1.93e-04 - train loss: 5.50e-03 - valid loss: 3.28e-03, valid error: 0.00e+00
Epoch: 28, lr: 1.62e-04 - train loss: 2.79e-03 - valid loss: 2.93e-03, valid error: 0.00e+00
Epoch: 29, lr: 1.31e-04 - train loss: 2.60e-02 - valid loss: 2.74e-03, valid error: 0.00e+00
Epoch: 30, lr: 1.00e-04 - train loss: 2.01e-03 - valid loss: 2.12e-03, valid error: 0.00e+00
Epoch loaded: 30 - test loss: 1.58e-03, test error: 0.00e+00
