Epoch: 1, lr: 1.00e-03 - train loss: 4.42e-01 - valid loss: 6.92e-01, valid error: 4.80e-01
Epoch: 2, lr: 9.69e-04 - train loss: 1.42e-01 - valid loss: 6.91e-01, valid error: 4.80e-01
Epoch: 3, lr: 9.38e-04 - train loss: 5.33e-02 - valid loss: 6.89e-01, valid error: 0.00e+00
Epoch: 4, lr: 9.07e-04 - train loss: 3.63e-02 - valid loss: 6.82e-01, valid error: 4.80e-01
Epoch: 5, lr: 8.76e-04 - train loss: 2.74e-02 - valid loss: 6.73e-01, valid error: 4.80e-01
Epoch: 6, lr: 8.45e-04 - train loss: 5.04e-02 - valid loss: 6.60e-01, valid error: 4.80e-01
Epoch: 7, lr: 8.14e-04 - train loss: 1.41e-02 - valid loss: 6.47e-01, valid error: 4.80e-01
Epoch: 8, lr: 7.83e-04 - train loss: 5.42e-03 - valid loss: 6.25e-01, valid error: 4.80e-01
Epoch: 9, lr: 7.52e-04 - train loss: 4.83e-03 - valid loss: 5.95e-01, valid error: 4.80e-01
Epoch: 10, lr: 7.21e-04 - train loss: 2.90e-03 - valid loss: 5.50e-01, valid error: 4.80e-01
Epoch: 11, lr: 6.90e-04 - train loss: 2.96e-03 - valid loss: 4.92e-01, valid error: 4.40e-01
Epoch: 12, lr: 6.59e-04 - train loss: 2.20e-03 - valid loss: 4.27e-01, valid error: 2.80e-01
Epoch: 13, lr: 6.28e-04 - train loss: 2.04e-03 - valid loss: 3.58e-01, valid error: 2.40e-01
Epoch: 14, lr: 5.97e-04 - train loss: 2.58e-03 - valid loss: 2.85e-01, valid error: 8.00e-02
Epoch: 15, lr: 5.66e-04 - train loss: 1.99e-03 - valid loss: 2.17e-01, valid error: 4.00e-02
Epoch: 16, lr: 5.34e-04 - train loss: 1.29e-03 - valid loss: 1.58e-01, valid error: 4.00e-02
Epoch: 17, lr: 5.03e-04 - train loss: 1.18e-03 - valid loss: 1.09e-01, valid error: 0.00e+00
Epoch: 18, lr: 4.72e-04 - train loss: 2.07e-03 - valid loss: 7.35e-02, valid error: 0.00e+00
Epoch: 19, lr: 4.41e-04 - train loss: 9.93e-04 - valid loss: 5.14e-02, valid error: 0.00e+00
Epoch: 20, lr: 4.10e-04 - train loss: 9.83e-04 - valid loss: 3.59e-02, valid error: 0.00e+00
Epoch: 21, lr: 3.79e-04 - train loss: 9.45e-04 - valid loss: 2.55e-02, valid error: 0.00e+00
Epoch: 22, lr: 3.48e-04 - train loss: 1.17e-03 - valid loss: 1.89e-02, valid error: 0.00e+00
Epoch: 23, lr: 3.17e-04 - train loss: 9.03e-04 - valid loss: 1.42e-02, valid error: 0.00e+00
Epoch: 24, lr: 2.86e-04 - train loss: 8.42e-04 - valid loss: 1.13e-02, valid error: 0.00e+00
Epoch: 25, lr: 2.55e-04 - train loss: 7.96e-04 - valid loss: 9.21e-03, valid error: 0.00e+00
Epoch: 26, lr: 2.24e-04 - train loss: 7.29e-04 - valid loss: 7.83e-03, valid error: 0.00e+00
Epoch: 27, lr: 1.93e-04 - train loss: 1.55e-03 - valid loss: 6.89e-03, valid error: 0.00e+00
Epoch: 28, lr: 1.62e-04 - train loss: 8.91e-04 - valid loss: 6.16e-03, valid error: 0.00e+00
Epoch: 29, lr: 1.31e-04 - train loss: 6.75e-04 - valid loss: 5.57e-03, valid error: 0.00e+00
Epoch: 30, lr: 1.00e-04 - train loss: 8.02e-04 - valid loss: 5.13e-03, valid error: 0.00e+00
Epoch loaded: 30 - test loss: 6.51e-03, test error: 0.00e+00
